table with row headers in column A,,,,,,,,,,,,,,,,,,,,,,
"Part III.  Population of Counties, Earliest Census to 1990",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF COUNTIES -- ALABAMA: 1800-1990,,,,,,,,,,,,,,,,,,,,,,
County,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,Notes,
Steele ,"30,729","30,328","26,931","25,029","21,155","19,749","18,475","18,061","16,146","16,524","13,232","12,460","8,271","2,863",---,*Wabasha,,,,,,
Stevens ,"10,634","11,322","11,218","11,262","11,106","11,039","10,185","9,778","8,293","8,721","5,251","3,911",174,---,---,*Pierce,,,,,,
Swift ,"10,724","12,920","13,177","14,936","15,837","15,469","14,735","15,093","12,949","13,503","10,161","7,473",---,---,---,"*Chippewa, Lac qui Parle (old)",,,,,,
Todd ,"23,363","24,991","22,114","23,119","25,420","27,438","26,170","26,059","23,407","22,214","12,930","6,133","2,036",430,---,"*Wahnata, Mahkahta",,,,,,
Traverse ,"4,463","5,542","6,254","7,503","8,053","8,283","7,938","7,943","8,049","7,573","4,516","1,507",13,---,---,*Toombs (Wilkin); Big Stone,,,,,,
Wabasha ,"19,744","19,335","17,224","17,007","16,878","17,653","17,613","17,919","18,554","18,924","16,972","18,206","15,859","7,228",243,,,,,,,
Wadena ,"13,154","14,192","12,412","12,199","12,806","12,772","10,990","10,699","8,652","7,921","4,053","2,080",6,---,---,"*Todd, Cass",,,,,,
Wahnata,---,---,---,---,---,---,---,---,---,---,---,---,---,---,160,See note 9,,,,,,
Waseca ,"18,079","18,448","16,663","16,041","14,957","15,186","14,412","14,133","13,466","14,760","13,313","12,385","7,854","2,601",---,*Wabasha,,,,,,
Washington ,"145,896","113,571","82,948","52,432","34,544","26,430","24,753","23,761","26,013","27,808","25,992","19,563","11,809","6,123","1,056",,,,,,,
Watonwan ,"11,682","12,361","13,298","14,460","13,881","13,902","12,802","12,457","11,382","11,496","7,746","5,104","2,426",---,---,*Brown,,,,,,
Wilkin ,"7,516","8,454","9,389","10,650","10,567","10,475","9,791","10,187","9,063","8,080","4,346","1,906",295,40,---,"*Wahnata, Mahkahta; 1860: Toombs",,,,,,
Winona ,"47,828","46,256","44,409","40,937","39,841","37,795","35,144","33,653","33,398","35,686","33,797","27,197","22,319","9,208",---,*Wabasha,,,,,,
Wright ,"68,710","58,681","38,933","29,935","27,716","27,550","27,119","28,685","28,082","29,157","24,164","18,104","9,457","3,729",---,*Dakota,,,,,,
Yellow Medicine ,"11,684","13,653","14,418","15,523","16,279","16,917","16,625","16,550","15,406","14,602","9,854","5,884",---,---,---,*Redwood,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MINNESOTA NOTES  ,,,,,,,,,,,,,,,,,,,,,,
"Northeastern Minnesota, east of the Mississippi River and a line drawn northward from its source to Canada, was part of the Northwest Territory (1787) and later of Indiana Territory (1800), Illinois Territory (1809), Michigan Territory (1818), and Wisconsin Territory (1838).  Most of the rest of the State was part of the Louisiana Purchase of 1803, and included in Louisiana Territory (1805), renamed Missouri Territory in 1812.  Both these parts of the present State were included in Michigan Territory from 1834 to 1836, and then in Wisconsin Territory until 1838. The portion west of the Mississippi then became part of Iowa Territory, until Minnesota Territory was established in 1849, including the whole present-day State and the Dakotas generally east of the Missouri River. Minnesota was admitted as a State on May 11, 1858 with essentially its present boundaries.  ",,,,,,,,,,,,,,,,,,,,,,
"There was only limited census coverage of the present area of the State prior to 1850.  In 1830 a few persons near Lake Superior may have been enumerated in Chippewa County, Michigan Territory; in 1840 some persons in northeastern Minnesota were enumerated in St. Croix County, Wisconsin Territory, and two settlements on the Mississippi River were enumerated as part of Clayton County, Iowa Territory.  In 1850 coverage of Minnesota Territory did not extend beyond the present State except for a few settlers near the Red River in what is now North Dakota.  In 1860 the census covered virtually the whole State.  ",,,,,,,,,,,,,,,,,,,,,,
County Notes:  ,,,,,,,,,,,,,,,,,,,,,,
"Note 1: Total for 1850 includes a few settlers near the Red River in what is now North Dakota.  Total for 1890 includes population (8,457) of certain Indian reservations not returned by county.  Total for 1900 includes population (3,486) of White Earth Indian Reservation, not returned by county, and returned in Becker, Clearwater, and Mahnomen Counties in 1910.  ",,,,,,,,,,,,,,,,,,,,,,
Note 2: Clearwater: also formed from area separately enumerated as White Earth Indian Reservation in 1900.  ,,,,,,,,,,,,,,,,,,,,,,
Note 3: The 1870 census area of old Lac qui Parle County was in Pierce in 1860 and in Swift and Chippewa in 1880.  The current Lac qui Parle County was created in 1871 and does not include any of the earlier Lac qui Parle County.  ,,,,,,,,,,,,,,,,,,,,,,
"Note 4: Mahkahta: to Cass, Otter Tail, Breckinridge (Clay), Becker, Todd, Toombs (Wilkin), Polk.  ",,,,,,,,,,,,,,,,,,,,,,
Note 5: Mahnomen: Corresponds to the portion of Norman enumerated in the White Earth Indian Reservation in 1900.  ,,,,,,,,,,,,,,,,,,,,,,
Note 6: Norman: The 1900 census boundaries are the same as those of 1910-1990 because of the separate reporting of the White Earth Indian Reservation in 1900.  ,,,,,,,,,,,,,,,,,,,,,,
"Note 7: Pierce: To Big Stone, Stevens, Pope, Chippewa, Lac qui Parle (old); Traverse.  ",,,,,,,,,,,,,,,,,,,,,,
Note 8: Pipestone: Present-day Rock County was returned as Pipestone in 1860; present-day Pipestone had no population reported until 1880.  ,,,,,,,,,,,,,,,,,,,,,,
"Note 9: Wahnata: to Pierce, Stearns, Todd, Otter Tail, Douglas, Toombs (Wilkin).  ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF COUNTIES -- MISSISSIPPI: 1800-1990,,,,,,,,,,,,,,,,,,,,,,
County,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,Notes,
,,,,,,,,,,,,,,,,,,,,,,
MISSISSIPPI,"2,573,216","2,520,638","2,216,912","2,178,141","2,178,914","2,183,796","2,009,821","1,790,618","1,797,114","1,551,270","1,289,600","1,131,597","827,922","791,305","606,526","375,651","136,621","75,448","31,306","7,600",See note 1,
,,,,,,,,,,,,,,,,,,,,,,
Adams ,"35,356","38,035","37,293","37,730","32,256","27,238","23,564","22,183","25,265","30,111","26,031","22,649","19,084","20,165","18,601","19,434","14,937","12,076","10,002","4,660",,
Alcorn ,"31,722","33,036","27,179","25,282","27,158","26,969","23,653","21,369","18,159","14,987","13,115","14,272","10,431",---,---,---,---,---,---,---,"*Tishomingo, Tippah",
Amite ,"13,328","13,369","13,763","15,573","19,261","21,892","19,712","18,960","22,954","20,708","18,198","14,004","10,973","12,336","9,694","9,511","7,934","6,853","4,750",---,*Adams,
Attala ,"18,481","19,865","19,570","21,335","26,652","30,227","26,035","24,831","28,851","26,248","22,213","19,988","14,776","14,169","10,991","4,303",---,---,---,---,,
Benton ,"8,046","8,153","7,505","7,723","8,793","10,429","9,813","9,851","10,245","10,510","10,585","11,023",---,---,---,---,---,---,---,---,"*Tippah, Marshall",
Bolivar ,"41,875","45,965","49,409","54,464","63,004","67,574","71,051","57,669","48,905","35,427","29,980","18,652","9,732","10,471","2,577","1,356",---,---,---,---,*Washington,
Calhoun ,"14,908","15,664","14,623","15,941","18,369","20,893","18,080","16,823","17,726","16,512","14,688","13,492","10,561","9,518",---,---,---,---,---,---,See note 2,
Carroll ,"9,237","9,776","9,397","11,177","15,499","20,651","19,765","20,324","23,139","22,116","18,773","17,795","21,047","22,035","18,491","10,481",---,---,---,---,,
Chickasaw ,"18,085","17,853","16,805","16,891","18,951","21,427","20,835","22,212","22,846","19,892","19,891","17,905","19,899","16,426","16,369","2,955",---,---,---,---,,
Choctaw ,"9,071","8,996","8,440","8,423","11,009","13,548","12,339","12,491","14,357","13,036","10,847","9,036","16,988","15,722","11,402","6,010",---,---,---,---,,
Claiborne ,"11,370","12,279","10,086","10,845","11,944","12,810","12,152","13,019","17,403","20,787","14,516","16,768","13,386","15,679","14,941","13,078","9,787","5,963","3,102",---,*Pickering (Jefferson),
Clarke ,"17,313","16,945","15,049","16,493","19,362","20,596","19,679","17,927","21,630","17,741","15,826","15,021","7,505","10,771","5,477","2,986",---,---,---,---,,
Clay ,"21,120","21,082","18,840","18,933","17,757","19,030","17,931","17,490","20,203","19,563","18,607","17,367",---,---,---,---,---,---,---,---,See note 3,
Coahoma ,"31,665","36,918","40,447","46,212","49,361","48,333","46,327","41,511","34,217","26,293","18,342","13,568","7,144","6,606","2,780","1,290",---,---,---,---,,
Copiah ,"27,592","26,503","24,749","27,051","30,493","33,974","31,614","28,672","35,914","34,395","30,233","27,552","20,608","15,398","11,794","8,954","7,001",---,---,---,,
Covington ,"16,527","15,927","14,002","13,637","16,036","17,030","15,028","14,869","16,909","13,076","8,299","5,993","4,753","4,408","3,338","2,717","2,551","2,230",---,---,*Wayne,
DeSoto ,"67,910","53,930","35,885","23,891","24,599","26,663","25,438","24,359","23,130","24,751","24,183","22,924","32,021","23,336","19,042","7,002",---,---,---,---,,
Forrest ,"68,314","66,018","57,849","52,722","45,055","34,901","30,115","21,238","20,722",---,---,---,---,---,---,---,---,---,---,---,*Perry,
Franklin ,"8,377","8,208","8,011","9,286","10,929","12,504","12,268","14,156","15,193","13,678","10,424","9,729","7,498","8,265","5,904","4,775","4,622","3,821","2,016",---,*Adams,
George ,"16,673","15,297","12,459","11,098","10,012","8,704","7,523","5,564","6,599",---,---,---,---,---,---,---,---,---,---,---,"*Jackson, Greene",
Greene ,"10,220","9,827","8,545","8,366","8,215","9,512","10,644","10,430","6,050","6,795","3,906","3,194","2,038","2,232","2,018","1,636","1,854","1,445",---,---,"*Wayne, Baldwin (AL)",
Grenada ,"21,555","21,043","19,854","18,409","18,830","19,052","16,802","13,607","15,727","14,112","14,974","12,071","10,571",---,---,---,---,---,---,---,See note 4,
Hancock ,"31,760","24,537","17,387","14,039","11,891","11,328","11,415","10,380","11,207","11,886","8,318","6,439","4,239","3,139","3,672","3,367","1,962","1,594",---,---,See note 5,
Harrison ,"165,365","157,665","134,582","119,489","84,073","50,799","44,143","32,855","34,658","21,002","12,481","7,895","5,795","4,819","4,875",---,---,---,---,---,"*Hancock, Perry, Jackson",
Hinds ,"254,441","250,998","214,973","187,045","142,164","107,273","85,118","57,110","63,726","52,577","39,279","43,958","30,488","31,339","25,340","19,098","8,645",---,---,---,,
Holmes ,"21,604","22,970","23,120","27,096","33,301","39,710","38,534","34,513","39,088","36,828","30,970","27,164","19,370","17,791","13,928","9,452",---,---,---,---,*Yazoo,
Humphreys ,"12,134","13,931","14,601","19,093","23,115","26,257","24,729","19,192",---,---,---,---,---,---,---,---,---,---,---,---,See note 6,
Issaquena ,"1,909","2,513","2,737","3,576","4,966","6,433","5,734","7,618","10,560","10,400","12,318","10,004","6,887","7,831","4,478",---,---,---,---,---,*Washington,
Itawamba ,"20,017","20,518","16,847","15,080","17,216","19,922","18,225","15,647","14,526","13,544","11,708","10,663","7,812","17,695","13,528","5,375",---,---,---,---,,
Jackson ,"115,243","118,015","87,975","55,522","31,401","20,601","15,973","19,208","15,451","16,513","11,251","7,607","4,362","4,122","3,196","1,965","1,792","1,682",---,---,,
Jasper ,"17,114","17,265","15,994","16,909","18,912","19,484","18,634","18,508","18,498","15,394","14,785","12,126","10,884","11,007","6,184","3,958",---,---,---,---,,
Jefferson ,"8,653","9,181","9,295","10,142","11,306","13,969","14,291","15,946","18,221","21,292","18,947","17,314","13,848","15,349","13,193","11,650","9,755","6,822","4,001","2,940",1800: Pickering,
Jefferson Davis ,"14,051","13,846","12,936","13,540","15,500","15,869","14,281","12,755","12,860",---,---,---,---,---,---,---,---,---,---,---,"*Lawrence, Covington",
Jones ,"62,031","61,912","56,357","59,542","57,235","49,227","41,492","32,919","29,885","17,846","8,333","3,828","3,313","3,323","2,164","1,258","1,471",---,---,---,*Covington,
Kemper ,"10,356","10,148","10,233","12,277","15,893","21,867","21,881","19,619","20,348","20,492","17,961","15,719","12,920","11,682","12,517","7,663",---,---,---,---,,
Lafayette ,"31,826","31,030","24,181","21,355","22,798","21,257","19,978","19,243","21,883","22,110","20,553","21,671","18,802","16,125","14,069","6,531",---,---,---,---,,
Lamar ,"30,424","23,821","15,209","13,675","13,225","12,096","12,848","12,869","11,741",---,---,---,---,---,---,---,---,---,---,---,*Marion; Pearl River,
Lauderdale ,"75,555","77,285","67,087","67,119","64,171","58,247","52,748","45,897","46,919","38,150","29,661","21,501","13,462","13,313","8,717","5,358",---,---,---,---,,
Lawrence ,"12,458","12,518","11,137","10,215","12,639","13,983","12,471","12,663","13,080","15,103","12,318","9,420","6,720","9,213","6,478","5,920","5,293","4,916",---,---,"*Franklin, Wayne",
Leake ,"18,436","18,790","17,085","18,660","21,610","24,570","21,803","16,973","18,298","17,360","14,803","13,146","8,496","9,324","5,533","2,162",---,---,---,---,,
Lee ,"65,581","57,061","46,148","40,589","38,237","38,838","35,313","29,618","28,894","21,956","20,040","20,470","15,955",---,---,---,---,---,---,---,"*Itawamba, Pontotoc",
Leflore ,"37,341","41,525","42,111","47,142","51,813","53,406","53,506","37,256","36,290","23,834","16,869","10,246",---,---,---,---,---,---,---,---,"*Sunflower, Carroll",
Lincoln ,"30,278","30,174","26,198","26,759","27,899","27,506","26,357","24,652","28,597","21,552","17,912","13,547","10,184",---,---,---,---,---,---,---,See note 7,
Lowndes ,"59,308","57,304","49,700","46,639","37,852","35,245","29,987","27,632","30,703","29,095","27,047","28,244","30,502","23,625","19,544","14,513","3,173",---,---,---,*Monroe,
Madison ,"53,794","41,613","29,737","32,904","33,860","37,504","35,796","29,292","33,505","32,493","27,321","25,866","20,948","23,382","18,173","15,530","4,973",---,---,---,See note 1,
Marion ,"25,544","25,708","22,871","23,293","23,967","24,085","19,923","17,144","15,599","13,501","9,532","6,901","4,211","4,686","4,410","3,830","3,691","3,116",---,---,"*Wayne, Amite, Franklin",
Marshall ,"30,361","29,296","24,027","24,503","25,106","25,522","24,869","26,105","26,796","27,674","26,043","29,330","29,416","28,823","29,689","17,526",---,---,---,---,,
Monroe ,"36,582","36,404","34,043","33,953","36,543","37,648","36,141","32,613","35,178","31,216","30,730","28,553","22,631","21,283","21,172","9,250","3,861","2,721",---,---, ,
Montgomery ,"12,388","13,366","12,918","13,320","14,470","15,703","15,009","13,805","17,706","16,536","14,459","13,348",---,---,---,---,---,---,---,---,"*Choctaw, Carroll",
Neshoba ,"24,800","23,789","20,802","20,927","25,730","27,882","26,691","19,303","17,980","12,726","11,146","8,741","7,439","8,343","4,728","2,437",---,---,---,---,,
Newton ,"20,291","19,944","18,983","19,517","22,681","24,249","22,910","20,727","23,085","19,708","16,625","13,436","10,067","9,661","4,465","2,527",---,---,---,---,,
Noxubee ,"12,604","13,212","14,288","16,826","20,022","25,669","25,560","23,710","28,503","30,846","27,338","29,874","20,905","20,667","16,299","9,975",---,---,---,---,,
Oktibbeha ,"38,375","36,018","28,752","26,175","24,569","22,151","19,119","16,872","19,676","20,183","17,694","15,978","14,891","12,977","9,171","4,276",---,---,---,---,,
Panola ,"29,996","28,164","26,829","28,791","31,271","34,421","28,648","27,845","31,274","29,027","26,977","28,352","20,754","13,794","11,444","4,657",---,---,---,---,,
Pearl River ,"38,714","33,795","27,802","22,411","20,641","19,125","19,405","15,468","10,593","6,697","2,957",---,---,---,---,---,---,---,---,---,"*Hancock, Marion",
Perry ,"10,865","9,864","9,065","8,745","9,108","9,292","8,197","8,987","7,685","14,682","6,494","3,427","2,694","2,606","2,438","1,889","2,300","2,037",---,---,*Wayne,
Pike ,"36,882","36,173","31,756","35,063","35,137","35,002","32,201","28,725","37,272","27,545","21,203","16,688","11,303","11,135","7,360","6,151","5,402","4,438",---,---,"*Amite, Franklin",
Pontotoc ,"22,237","20,918","17,363","17,232","19,994","22,904","22,034","19,962","19,688","18,274","14,940","13,858","12,525","22,113","17,112","4,491",---,---,---,---,,
Prentiss ,"23,278","24,025","20,133","17,949","19,810","20,921","19,265","17,606","16,931","15,788","13,679","12,158","9,348",---,---,---,---,---,---,---,"*Tishomingo, Itawamba",
Quitman ,"10,490","12,636","15,888","21,019","25,885","27,191","25,304","19,861","11,593","5,435","3,286","1,407",---,---,---,---,---,---,---,---,See note 8,
Rankin ,"87,161","69,427","43,933","34,322","28,881","27,934","20,353","20,272","23,944","20,955","17,922","16,752","12,977","13,635","7,227","4,631","2,083",---,---,---,,
Scott ,"24,137","24,556","21,369","21,187","21,681","23,144","20,914","16,420","16,723","14,316","11,740","10,845","7,847","8,139","3,961","1,653",---,---,---,---,,
Sharkey ,"7,066","7,964","8,937","10,738","12,903","15,433","13,877","14,190","15,694","12,178","8,382","6,306",---,---,---,---,---,---,---,---,"*Issaquena, Washington",
Simpson ,"23,953","23,441","19,947","20,454","21,819","22,024","20,897","18,109","17,201","12,800","10,138","8,008","5,718","6,080","4,734","3,380","2,680",---,---,---,,
Smith ,"14,798","15,077","13,561","14,303","16,740","19,403","18,405","16,178","16,603","13,055","10,635","8,088","7,126","7,638","4,071","1,961",---,---,---,---,,
Stone ,"10,750","9,716","8,101","7,013","6,264","6,155","5,704","6,528",---,---,---,---,---,---,---,---,---,---,---,---,*Harrison,
Sunflower ,"32,867","34,844","37,047","45,750","56,031","61,007","66,364","46,374","28,787","16,084","9,384","4,661","5,015","5,019","1,102",---,---,---,---,---,*Bolivar; see note 5,
Tallahatchie ,"15,210","17,157","19,338","24,081","30,486","34,166","35,568","35,953","29,078","19,600","14,361","10,926","7,852","7,890","4,643","2,985",---,---,---,---,,
Tate ,"21,432","20,119","18,544","18,138","18,011","19,309","17,671","19,636","19,714","20,618","19,253","18,721",---,---,---,---,---,---,---,---,See note 9,
Tippah ,"19,523","18,739","15,852","15,093","17,522","19,680","18,658","15,419","14,631","12,983","12,951","12,867","20,727","22,550","20,741","9,444",---,---,---,---,,
Tishomingo ,"17,683","18,434","14,940","13,889","15,544","16,974","16,411","15,091","13,067","10,124","9,302","8,774","7,350","24,149","15,490","6,681",---,---,---,---,,
Tunica ,"8,164","9,652","11,854","16,826","21,664","22,610","21,233","20,386","18,646","16,479","12,158","8,461","5,358","4,366","1,314",821,---,---,---,---,,
Union ,"22,085","21,741","19,096","18,904","20,262","21,867","21,268","20,044","18,997","16,522","15,606","13,030",---,---,---,---,---,---,---,---,"*Tippah, Pontotoc, Lee",
Walthall ,"14,352","13,761","12,500","13,512","15,563","17,534","13,871","13,455",---,---,---,---,---,---,---,---,---,---,---,---,"*Pike, Marion",
Warren ,"47,880","51,627","44,981","42,206","39,616","39,595","35,785","33,362","37,488","40,912","33,164","31,238","26,769","20,696","18,120","15,820","7,861","2,693","1,114",---,*Pickering (Jefferson),
Washington ,"67,935","72,344","70,581","78,638","70,504","67,576","54,310","51,092","48,933","49,216","40,414","25,367","14,569","15,679","8,389","7,287","1,976",---,---,---,See notes 1 and 5,
Wayne ,"19,517","19,135","16,650","16,258","17,010","16,928","15,295","15,467","14,709","12,539","9,817","8,741","4,206","3,691","2,892","2,120","2,781","3,323","1,253",---,,
Webster ,"10,222","10,300","10,047","10,580","11,607","14,160","12,128","12,644","14,853","13,619","12,060","9,534",---,---,---,---,---,---,---,---,See note 10,
Wilkinson ,"9,678","10,021","11,099","13,235","14,116","15,955","13,957","15,319","18,075","21,453","17,592","17,815","12,705","15,933","16,914","14,193","11,686","9,718","5,068",---,*Adams,
Winston ,"19,433","19,474","18,406","19,246","22,231","22,751","21,239","18,139","17,139","14,124","12,089","10,087","8,984","9,811","7,956","4,650",---,---,---,---,,
Yalobusha ,"12,033","13,139","11,915","12,502","15,191","18,387","17,750","18,738","21,519","19,742","16,629","15,649","13,254","16,952","17,258","12,248",---,---,---,---,,
Yazoo ,"25,506","27,349","27,304","31,653","35,712","40,091","37,262","37,149","46,672","43,948","36,394","33,845","17,279","22,373","14,418","10,480","6,550",---,---,---,,
,,,,,,,,,,,,,,,,,,,,,,
MISSISSIPPI NOTES  ,,,,,,,,,,,,,,,,,,,,,,
"Most of present-day Mississippi was part of Georgia until the south-central portions of Mississippi and Alabama were established as Mississippi Territory, authorized by Congress in 1798 and agreed to by Georgia in 1802. In 1804, the Territory was expanded to include the northern parts of the two future States.  The Gulf Coast portions were added in 1812, although still in dispute with Spain until 1819.  Mississippi was admitted as a State on December 10, 1817 with essentially its present boundaries.  ",,,,,,,,,,,,,,,,,,,,,,
Census coverage of present-day Mississippi began in 1800 in the southwestern section close to the Mississippi River.  The populations shown for 1800 and 1810 exclude counties now in Alabama.  The central and northern portions were not fully covered by the census until 1840.  ,,,,,,,,,,,,,,,,,,,,,,
County Notes:  ,,,,,,,,,,,,,,,,,,,,,,
"Note 1: Total for 1800 excludes population (1,250) of Washington County, Mississippi Territory, nearly all of which is now in Alabama; total for 1810 excludes population (9,046) of Baldwin, Madison, and Washington Counties, Mississippi Territory, now entirely or mostly in Alabama. Mississippi's present-day Madison and Washington Counties were created in the 1820's.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 2: Calhoun: *Chickasaw, Yalobusha, Lafayette.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 3: Clay: *Chickasaw, Oktibbeha, Lowndes; Monroe.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 4: Grenada: *Yalobusha, Carroll, Tallahatchie, Choctaw.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 5: Hancock, Sunflower, Washington: Population for 1860 is that published in the 1860 report as ""estimated"".  ",,,,,,,,,,,,,,,,,,,,,,
"Note 6: Humphreys: *Yazoo, Washington, Holmes, Sunflower.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 7: Lincoln: *Lawrence, Copiah, Franklin, Pike, Amite.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 8: Quitman: *Tunica, Tallahatchie, Panola, Coahoma.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 9: Tate: *DeSoto, Marshall; Tunica.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 10: Webster: *Choctaw, Chickasaw, Oktibbeha; 1880: Sumner.  ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF COUNTIES -- MISSOURI: 1810-1990,,,,,,,,,,,,,,,,,,,,,,
County,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,Notes,,
,,,,,,,,,,,,,,,,,,,,,,
MISSOURI,"5,117,073","4,916,686","4,676,501","4,319,813","3,954,653","3,784,664","3,629,367","3,404,055","3,293,335","3,106,665","2,679,185","2,168,380","1,721,295","1,182,012","682,044","383,702","140,455","66,586","19,783",See note 1,,
,,,,,,,,,,,,,,,,,,,,,,
Adair ,"24,577","24,870","22,472","20,105","19,689","20,246","19,436","21,404","22,700","21,728","17,417","15,190","11,448","8,531","2,342",---,---,---,---,*Macon,,
Andrew ,"14,632","13,980","11,913","11,062","11,727","13,015","13,469","14,075","15,282","17,332","16,000","16,318","15,137","11,850","9,433",---,---,---,---,*Buchanan,,
Atchison ,"7,457","8,605","9,240","9,213","11,127","12,897","13,421","13,008","13,604","16,501","15,533","14,556","8,440","4,649","1,678",---,---,---,---,*Buchanan,,
Audrain ,"23,599","26,458","25,362","26,079","23,829","22,673","22,077","20,589","21,687","21,160","22,074","19,732","12,307","8,075","3,506","1,949",---,---,---,"*Ralls, Callaway",,
Barry ,"27,547","24,408","19,597","18,921","21,755","23,546","22,803","23,473","23,869","25,532","22,943","14,405","10,373","7,995","3,467","4,795",---,---,---,*Wayne; Crawford,,
Barton ,"11,312","11,292","10,431","11,113","12,678","14,148","14,560","16,879","16,747","18,253","18,504","10,332","5,087","1,817",---,---,---,---,---,*Jasper,,
Bates ,"15,025","15,873","15,468","15,905","17,534","19,531","22,068","23,933","25,869","30,141","32,223","25,381","15,960","7,215","3,669",---,---,---,---,"*Van Buren (Cass), Newton",,
Benton ,"13,859","12,183","9,695","8,737","9,080","11,142","11,708","12,989","14,881","16,556","14,973","12,396","11,322","9,072","5,015","4,205",---,---,---,"*Crawford, Saline, Cooper",,
Bollinger ,"10,619","10,301","8,820","9,167","11,019","12,898","12,269","13,909","14,576","14,650","13,121","11,130","8,162","7,371",---,---,---,---,---,"*Cape Girardeau, Wayne; Stoddard",,
Boone ,"112,379","100,376","80,911","55,202","48,432","34,991","30,995","29,672","30,533","28,642","26,043","25,422","20,765","19,486","14,979","13,561","8,859",---,---,*Howard; Pike,,
Buchanan ,"83,083","87,888","86,915","90,581","96,826","94,067","98,633","93,684","93,020","121,838","70,100","49,792","35,109","23,861","12,975","6,237",---,---,---,,,
Butler ,"38,765","37,693","33,529","34,656","37,707","34,276","23,697","24,106","20,624","16,769","10,164","6,011","4,298","2,891","1,616",---,---,---,---,*Wayne,,
Caldwell ,"8,380","8,660","8,351","8,830","9,929","11,629","12,509","13,849","14,605","16,656","15,152","13,646","11,390","5,034","2,316","1,458",---,---,---,*Ray,,
Callaway ,"32,809","32,252","25,850","23,858","23,316","23,094","19,923","23,007","24,400","25,984","25,131","23,670","19,202","17,449","13,827","11,765","6,159",---,---,*Montgomery; Pike,,
Camden ,"27,495","20,017","13,315","9,116","7,861","8,971","9,142","10,474","11,582","13,113","10,040","7,266","6,108","4,975","2,338",---,---,---,---,"*Pulaski, Morgan",,
Cape Girardeau ,"61,633","58,837","49,350","42,020","38,397","37,775","33,203","29,839","27,621","24,315","22,060","20,998","17,558","15,547","13,912","9,359","7,445","5,968","3,888",,,
Carroll ,"10,748","12,131","12,565","13,847","15,589","17,814","19,940","20,480","23,098","26,455","25,742","23,274","17,446","9,763","5,441","2,423",---,---,---,*Ray,,
Carter ,"5,515","5,428","3,878","3,973","4,777","6,226","5,503","7,482","5,504","6,706","4,659","2,168","1,455","1,235",---,---,---,---,---,"*Ripley; Shannon, Reynolds",,
Cass ,"63,808","51,029","39,448","29,702","19,325","19,534","20,962","21,536","22,973","23,636","23,301","22,431","19,296","9,794","6,090","4,693",---,---,---,See note 2,,
Cedar ,"12,093","11,894","9,424","9,185","10,663","11,697","11,136","13,933","16,080","16,923","15,620","10,741","9,474","6,637","3,361",---,---,---,---,"*Polk, Barry, Rives (Henry)",,
Chariton ,"9,202","10,489","11,084","12,720","14,944","18,084","19,588","21,769","23,503","26,826","26,254","25,224","19,136","12,562","7,514","4,746","1,780",---,---,*Howard,,
Christian ,"32,644","22,402","15,124","12,359","12,412","13,538","13,169","15,252","15,832","16,939","14,017","9,628","6,707","5,491",---,---,---,---,---,"*Greene, Taney",,
Clark ,"7,547","8,493","8,260","8,725","9,003","10,166","10,254","11,874","12,811","15,383","15,126","15,031","13,667","11,684","5,527","2,846",---,---,---,"*Marion, Randolph",,
Clay ,"153,411","136,488","123,322","87,474","45,221","30,417","26,811","20,455","20,302","18,903","19,856","15,572","15,564","13,023","10,332","8,282","5,338",---,---,*Howard,,
Clinton ,"16,595","15,916","12,462","11,588","11,726","13,261","13,505","14,461","15,297","17,363","17,138","16,073","14,063","7,848","3,786","2,724",---,---,---,*Clay,,
Cole ,"63,579","56,663","46,228","40,761","35,464","34,912","30,848","24,680","21,957","20,578","17,281","15,515","10,292","9,697","6,696","9,286","3,023",---,---,*Cooper,,
Cooper ,"14,835","14,643","14,732","15,448","16,608","18,075","19,522","19,308","20,311","22,532","22,707","21,596","20,692","17,356","12,950","10,484","6,904","6,959",---,*St. Louis,,
Crawford ,"19,173","18,300","14,828","12,647","11,615","12,693","11,287","12,355","13,576","12,959","11,961","10,756","7,982","5,823","6,397","3,561","1,712",---,---,*Franklin,,
